Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
5644562,100% LINEN SHIRT - Light beige | ZARA United States,GENERAL,Light beige,25.9,,100.0,True,1550.0,16.49,,100.0,,True,9.41,100% LINEN SHIRT | Shirt with a Mandarin collar and long sleeves adjustable with a button. Front button closure. Patch pocket on the chest. Made from 100% linen fabric. | Composition: 100% linen | / 100% LINEN SHIRT | 100% linen | 100% certified European grown linen,Bangladesh,3/22/26,94.01,March22_1AM
1880506,WIDE LEG RAISED TEXT PLUSH PANTS - Dark pink | ZARA United States,GENERAL,Dark pink,15.9,,96.0,True,,,,,,,,"Composition: 96% cotton, 4% elastane | 96% cotton | 96% OCS certified organically grown cotton",Pakistan,3/22/26,94.01,March22_1AM
7521056,PLEATED LACE DRESS ZW COLLECTION - Ecru | ZARA United States,GENERAL,Ecru,119.0,,80.0,True,6550.0,69.96,,80.0,,True,49.04,20% polyester | 70% cotton | 100% polyester | 100% cotton | 100% RCS-certified recycled polyester | 20% RCS-certified recycled polyester | 70% OCS certified organically grown cotton,India,2026-03-22,93.62,comparison_dresses
3641378,POLYAMIDE BLEND STRAPPY DRESS - Raspberry | ZARA United States,GENERAL,Raspberry,29.9,,82.0,True,1650.0,17.62,,82.0,,True,12.28,,Bangladesh,2026-03-22,93.62,comparison_dresses
1165468,COMBINATION POLKA DOT DRESS - Brown | ZARA United States,GENERAL,Brown,69.9,,96.0,True,3950.0,42.19,,96.0,,True,27.71,96% polyester | 100% polyester | 100% RCS-certified recycled polyester | 96% RCS-certified recycled polyester,Morocco,2026-03-22,93.62,comparison_dresses
1165467,POLKA DOT HALTER SCARF DRESS - White | ZARA United States,GENERAL,White,59.9,,96.0,True,2950.0,31.51,,96.0,,True,28.39,96% polyester | 100% polyester | 100% RCS-certified recycled polyester | 96% RCS-certified recycled polyester,Morocco,2026-03-22,93.62,comparison_dresses
2623185,PATCHWORK PRINT DRESS - Multicolored | ZARA United States,GENERAL,Multicolored,79.9,,100.0,True,4350.0,46.46,,100.0,,True,33.44,100% polyester | 100% RCS-certified recycled polyester,Morocco,2026-03-22,93.62,comparison_dresses
4387032,POLKA DOT MIDI DRESS - Ecru / Maroon | ZARA United States,GENERAL,Ecru / Maroon,69.9,,100.0,True,3950.0,42.19,,100.0,,True,27.71,100% polyester | 100% RCS-certified recycled polyester,Cambodia,2026-03-22,93.62,comparison_dresses
3564086,EMBROIDERED PRINTED DRESS - Blue / White | ZARA United States,GENERAL,Blue / White,59.9,,58.0,True,2950.0,31.51,,58.0,,True,28.39,"Composition: 58% cotton, 42% polyester | 58% cotton | 42% polyester | 42% RCS-certified recycled polyester | 58% OCS certified organically grown cotton",Turkey,2026-03-22,93.62,comparison_dresses
3067327,NYLON PLEATED JUMPSUIT - Dark khaki | ZARA United States,GENERAL,Dark khaki,79.9,,100.0,True,4350.0,46.46,,100.0,,True,33.44,,,2026-03-22,93.62,comparison_dresses
4772303,PLAID SHIRT DRESS - Brown-Blue | ZARA United States,GENERAL,Brown-Blue,79.9,,98.0,True,4350.0,46.46,,98.0,,True,33.44,"Composition: 98% cotton, 2% elastane | 98% cotton | 98% OCS certified organically grown cotton",Cambodia,2026-03-22,93.62,comparison_dresses
387053,PLEATED MIDI DRESS - Dark fuchsia | ZARA United States,GENERAL,Dark fuchsia,69.9,,100.0,True,3950.0,42.19,,100.0,,True,27.71,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Morocco,2026-03-22,93.62,comparison_dresses
2583337,PUFF SLEEVE POPLIN MIDI DRESS - Navy blue | ZARA United States,GENERAL,Navy blue,79.9,,100.0,True,4350.0,46.46,,100.0,,True,33.44,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-03-22,93.62,comparison_dresses
5029098,POPLIN MINI DRESS - White | ZARA United States,GENERAL,White,59.9,,100.0,True,2950.0,31.51,,100.0,,True,28.39,100% cotton | 100% polyester | 100% OCS certified organically grown cotton | 100% RCS-certified recycled polyester,Turkey,2026-03-22,93.62,comparison_dresses
