Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time,Source File
1608603,VENTED CAPRI PANTS - Black | ZARA United States,GENERAL,Black,19.9,,71.0,True,1150.0,12.35,,71.0,,True,7.55,"Composition: 71% polyester, 25% viscose, 4% elastane | 71% polyester | 71% RCS-certified recycled polyester",Tunisia,2026-04-04,93.1,16:03:53,kids2_girlnew
1165633,CUT OUT FLORAL T-SHIRT - Red | ZARA United States,GENERAL,Red,17.9,,51.0,True,950.0,10.2,,51.0,,True,7.7,51% polyester | 49% cotton | 100% cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
1608604,PONTE KNIT DRESS - Red | ZARA United States,GENERAL,Red,35.9,,79.0,True,1950.0,20.95,,79.0,,True,14.95,79% cotton | 17% polyester | 17% RCS-certified recycled polyester | 79% OCS certified organically grown cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
2878620,FLORAL TULLE DRESS - Ecru | ZARA United States,GENERAL,Ecru,39.9,,86.0,True,2350.0,25.24,,86.0,,True,14.66,86% polyester | 100% polyester | 86% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
12534730,MESH BALLET FLATS - Red | ZARA United States,GENERAL,Red,35.9,,91.0,True,,,,,,,,91% polyester | 10% polyester | 91% RCS-certified recycled polyester | 10% RCS-certified recycled polyester,Cambodia,2026-04-04,93.1,16:03:53,kids2_girlnew
12560730,LEATHER BALLET FLATS - White | ZARA United States,GENERAL,White,89.9,,100.0,True,5550.0,59.61,,100.0,,True,30.29,20% polyester,Cambodia,2026-04-04,93.1,16:03:53,kids2_girlnew
20310507,TIZ EDT 50 ML (1.7 FL. OZ) | ZARA United States,GENERAL,,14.9,29.8,,True,,,,,,,,,Spain,2026-04-04,93.1,16:03:53,kids2_girlnew
20310508,CLEO EDT 50 ML (1.7 FL. OZ) | ZARA United States,GENERAL,,14.9,29.8,,True,,,,,,,,,Spain,2026-04-04,93.1,16:03:53,kids2_girlnew
6688604,RHINESTONE & STAR WIDE LEG JEANS - White | ZARA United States,GENERAL,White,49.9,,60.0,True,2950.0,31.69,,60.0,,True,18.21,"Composition: 60% cotton, 40% lyocell | 60% cotton | 5% RCS-certified recycled cotton | 55% OCS certified organically grown cotton",Turkey,2026-04-04,93.1,16:03:53,kids2_girltops
327609,ZEBRA PRINT WIDE LEG JEANS - Gray marl | ZARA United States,GENERAL,Gray marl,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girltops
595625,STUDDED WIDE LEG JEANS - Ecru | ZARA United States,GENERAL,Ecru,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,Composition: 100% cotton | 100% cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girltops
4551626,STUDDED BARREL JEANS - Mink | ZARA United States,GENERAL,Mink,45.9,,100.0,True,2550.0,27.39,,100.0,,True,18.51,Composition: 100% cotton,,2026-04-04,93.1,16:03:53,kids2_girltops
595626,ANIMAL PRINT WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,39.9,,100.0,True,2350.0,25.24,,100.0,,True,14.66,Composition: 100% cotton | 100% cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girltops
6045610,STUDDED BOOTCUT JEANS - Gray | ZARA United States,GENERAL,Gray,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Egypt,2026-04-04,93.1,16:03:53,kids2_girltops
4551644,STUDDED STRAIGHT LEG JEANS - Gray | ZARA United States,GENERAL,Gray,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton | 80% OCS certified organically grown cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girltops
327603,WIDE LEG JEANS WITH SHIMMER FRINGE - Blue / Gray | ZARA United States,GENERAL,Blue / Gray,49.9,,60.0,True,2950.0,31.69,,60.0,,True,18.21,"Composition: 60% cotton, 40% lyocell | 60% cotton | 5% RCS-certified recycled cotton | 55% OCS certified organically grown cotton",Turkey,2026-04-04,93.1,16:03:53,kids2_girltops
1300602,WIDE LEG JEANS WITH STUDS - Ecru / Blue | ZARA United States,GENERAL,Ecru / Blue,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton | 70% OCS certified organically grown cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girltops
4551627,RHINESTONE STAR WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girltops
