feature,coefficient,abs_coefficient
cat__colour_from_title_Light camel,0.07200284179098088,0.07200284179098088
cat__colour_from_title_Wine,-0.07126799411840387,0.07126799411840387
cat__colour_from_title_various,0.07116522240197143,0.07116522240197143
"cat__materials_text_Relaxed fit pants made from 24% wool fabric. Waist with front pleat detail. Front pockets and back welt pockets. Front zip and hidden metal hook closure. | Composition: 33% polyester, 31% acrylic, 24% wool, 7% cotton, 5% other fibres | 33% polyester | 24% wool | 7% cotton | 24% RCS-certified recycled wool | 7% RCS-certified recycled cotton | 33% RCS-certified recycled polyester",-0.07027361326698109,0.07027361326698109
"cat__materials_text_Relaxed fit cropped pants made of flowy fabric with a viscose and 8% linen blend. Adjustable waist with interior drawstring. Front pleats. Side pockets and back double welt pockets with button. Adjustable hem with side drawstrings. Front crisscross drawstring closure. | Composition: 92% viscose, 8% linen | 8% linen",-0.07024079403830391,0.07024079403830391
cat__materials_text_69% polyester | 55% polyester | 69% RCS-certified recycled polyester | 55% RCS-certified recycled polyester,-0.0696191941499892,0.0696191941499892
"cat__materials_text_Composition: 70% cotton, 30% linen | 70% cotton | 30% linen | 30% RCS-certified recycled linen | 70% RCS-certified recycled cotton",0.06924099261421154,0.06924099261421154
cat__colour_from_title_Pale pink,0.06890955485546493,0.06890955485546493
cat__materials_text_Composition: 100% cotton | 100% cotton | 40% RCS-certified recycled cotton | 60% OCS certified organically grown cotton,0.0687167161160509,0.0687167161160509
cat__materials_text_100% LINEN POCKET JACKET | 100% linen | 100% cotton | / 100% LINEN POCKET JACKET | 100% certified European grown linen,-0.06869637830605643,0.06869637830605643
cat__materials_text_100% cotton | 69% polyester | 100% OCS certified organically grown cotton,0.06863736303191266,0.06863736303191266
cat__materials_text_100% LINEN SUIT BLAZER | 100% linen | 100% polyester | / 100% LINEN SUIT BLAZER | 100% certified European grown linen | 100% RCS-certified recycled polyester,-0.0682307648596559,0.0682307648596559
cat__materials_text_12% polyester | 100% polyester | 100% RCS-certified recycled polyester,-0.06748073742767863,0.06748073742767863
"cat__materials_text_Composition: 60% polyester, 40% cotton | 60% polyester | 40% cotton",0.06697473481365097,0.06697473481365097
cat__materials_text_Composition: 100% cotton | 100% cotton,0.06652733325315825,0.06652733325315825
cat__materials_text_100% cotton | 100% polyester | 90% RCS-certified recycled cotton | 10% OCS certified organically grown cotton | 100% RCS-certified recycled polyester,0.06586092070156016,0.06586092070156016
cat__colour_from_title_Denim Blue,0.06586092070156016,0.06586092070156016
"cat__materials_text_Composition: 65% cotton, 35% polyester | 65% cotton | 35% polyester | 35% RCS-certified recycled polyester | 65% OCS certified organically grown cotton",0.06562649245956784,0.06562649245956784
cat__colour_from_title_Navy / White,0.06562649245956784,0.06562649245956784
cat__materials_text_95% polyester | 100% polyester | 95% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,0.06534706011427611,0.06534706011427611
cat__colour_from_title_Green,-0.06499785506357887,0.06499785506357887
"cat__materials_text_Composition: 55% polyester, 45% cotton, 0% viscose | 55% polyester | 45% cotton",-0.06411188959001649,0.06411188959001649
cat__materials_text_100% cotton | 100% OCS certified organically grown cotton,0.06407467334342914,0.06407467334342914
cat__materials_text_58% polyester | 58% RCS-certified recycled polyester,-0.06348799362132228,0.06348799362132228
cat__materials_text_100% POLYESTER | 100% polyester | 100% RCS-certified recycled polyester,-0.06324803238619833,0.06324803238619833
cat__materials_text_76% polyester | 76% RCS-certified recycled polyester,-0.06300866856027701,0.06300866856027701
cat__colour_from_title_Yellow,0.0629343226572106,0.0629343226572106
cat__Source File_comparison_girltops,-0.062422871022564864,0.062422871022564864
"cat__materials_text_Composition: 79% cotton, 21% linen | 79% cotton | 21% linen | 79% OCS certified organically grown cotton",0.06235569538531494,0.06235569538531494
"cat__materials_text_Composition: 74% polyester, 19% viscose, 7% elastane",0.060918851885932705,0.060918851885932705
"cat__materials_text_Composition: 55% linen, 45% viscose | 55% linen",0.060337257690184026,0.060337257690184026
cat__colour_from_title_Mink brown,0.059566683093978855,0.059566683093978855
"cat__materials_text_Composition: 72% lyocell, 28% polyester | 28% polyester",0.059566683093978855,0.059566683093978855
"cat__materials_text_Composition: 37% cotton, 28% linen, 19% polyester, 16% polyamide | 37% cotton | 28% linen | 19% polyester | 19% RCS-certified recycled polyester | 37% OCS certified organically grown cotton",-0.059273940149795,0.059273940149795
"cat__materials_text_Composition: 55% cotton, 42% lyocell, 3% elastane | 55% cotton | 55% OCS certified organically grown cotton",-0.059202284602685284,0.059202284602685284
cat__materials_text_46% polyester | 43% cotton | 46% RCS-certified recycled polyester | 43% RCS-certified recycled cotton,-0.05878183081312781,0.05878183081312781
cat__materials_text_SEQUIN 100% SILK ORGANZA SHIRT | Composition: 100% silk (mulberry) | / SEQUIN 100% SILK ORGANZA SHIRT,0.058490120312300616,0.058490120312300616
cat__colour_from_title_Mid khaki,0.05789452714466727,0.05789452714466727
cat__materials_text_21% silk (mulberry) | 96% cotton,-0.05779485727713061,0.05779485727713061
cat__Category_MAN,0.057060217308235225,0.057060217308235225
