feature,coefficient,abs_coefficient
"materials_text_Composition: 68% lyocell, 32% polyester | 32% polyester",-7.231933734060697e-05,7.231933734060697e-05
materials_text_100% polyester | 12% polyester | 100% RCS-certified recycled polyester | 12% RCS-certified recycled polyester,-7.092491220880268e-05,7.092491220880268e-05
name_SATIN EFFECT BOW JUMPSUIT ZW COLLECTION - Ivory | ZARA United States,7.083891551752959e-05,7.083891551752959e-05
colour_from_title_Dark orange,-7.053143383450283e-05,7.053143383450283e-05
name_Cotton Shoes,-6.985185354604152e-05,6.985185354604152e-05
name_PLEATED LINEN Everyday ZW COLLECTION - Ecru | ZARA United States,-6.982143738318029e-05,6.982143738318029e-05
materials_text_Composition: 100% cotton | 100% cotton,-6.972054739384812e-05,6.972054739384812e-05
name_Relaxed Sandals,6.88912881675753e-05,6.88912881675753e-05
"materials_text_Composition: 99% cotton, 1% elastane | 99% cotton | 99% OCS certified organically grown cotton",6.768047262437716e-05,6.768047262437716e-05
name_CHOKER Linen Blend BODYSUIT - Dark brown | ZARA United States,-6.758367677992035e-05,6.758367677992035e-05
colour_from_title_Wine,-6.734564571630226e-05,6.734564571630226e-05
colour_from_title_Off White,6.69045000553989e-05,6.69045000553989e-05
materials_text_58% polyester | 58% RCS-certified recycled polyester,-6.60425745658282e-05,6.60425745658282e-05
name_POLYAMIDE BLEND STRAPPY DRESS - Raspberry | ZARA United States,-6.549023165710472e-05,6.549023165710472e-05
materials_text_100% LINEN RELAXED FIT SHIRT | Composition: 100% linen | / 100% LINEN RELAXED FIT SHIRT | 100% linen,-6.509754411849903e-05,6.509754411849903e-05
made_in_Indonesia,-6.501446172587369e-05,6.501446172587369e-05
"materials_text_Composition: 62% polyester, 32% viscose, 6% elastane | 62% polyester | 62% RCS-certified recycled polyester",-6.479001757693865e-05,6.479001757693865e-05
colour_from_title_Soft gold,-6.430621338763893e-05,6.430621338763893e-05
colour_from_title_Beige,-6.3980431314919e-05,6.3980431314919e-05
name_PLEATED WIDE LEG PANTS ZW COLLECTION - Brown-Blue | ZARA United States,-6.371870279469468e-05,6.371870279469468e-05
name_Soft Cardigan,-6.346293904247743e-05,6.346293904247743e-05
name_PLAID MIDI SKIRT - Multicolored | ZARA United States,-6.286370512491425e-05,6.286370512491425e-05
name_QUILTED ANORAK 80% DOWN 20% FEATHER WATER RESISTANT WINDPROOF RECCO® TECHNOLOGY SKI COLLECTION - Black | ZARA United States,-6.274262103012022e-05,6.274262103012022e-05
name_Linen Blend Bag,-6.0861180855455095e-05,6.0861180855455095e-05
materials_text_64% polyester | 65% polyester | 35% cotton | 64% RCS-certified recycled polyester | 35% OCS certified organically grown cotton | 65% RCS-certified recycled polyester,-6.076906747365543e-05,6.076906747365543e-05
colour_from_title_Brown-Blue,-5.917976702096425e-05,5.917976702096425e-05
materials_text_69% polyester | 55% polyester | 69% RCS-certified recycled polyester | 55% RCS-certified recycled polyester,5.8767265695196376e-05,5.8767265695196376e-05
name_Contrast Jacket,-5.8518197145668e-05,5.8518197145668e-05
materials_text_100% cotton | 74% cotton | 23% polyester | 100% OCS certified organically grown cotton | 23% RCS-certified recycled polyester | 74% OCS certified organically grown cotton,-5.829173741083549e-05,5.829173741083549e-05
name_PLEATED LINEN PANTS ZW COLLECTION - Ecru | ZARA United States,5.775692831006126e-05,5.775692831006126e-05
"materials_text_Composition: 51% polyamide, 49% polyester | 49% polyester | 49% RCS-certified recycled polyester",-5.762305759931066e-05,5.762305759931066e-05
name_PINCH PLEAT TOTE BAG - Dark tan | ZARA United States,5.753105939267493e-05,5.753105939267493e-05
name_MINI POLKA Printed DRESS - Black / White | ZARA United States,-5.702834255696987e-05,5.702834255696987e-05
colour_from_title_Dark brown,-5.5923209133174475e-05,5.5923209133174475e-05
name_PLAID RUFFLED SKIRT ZW COLLECTION - Multicolored | ZARA United States,5.580900604814676e-05,5.580900604814676e-05
materials_text_100% polyester,5.5617459896971274e-05,5.5617459896971274e-05
name_Structured Top,-5.4758212489935146e-05,5.4758212489935146e-05
materials_text_100% polyester | 90% polyester,-5.4736223722481376e-05,5.4736223722481376e-05
name_PLEATED LACE DRESS Flowy COLLECTION - Ecru | ZARA United States,5.4677601521938005e-05,5.4677601521938005e-05
name_ASYMMETRIC POLKA DOT SKIRT - Brown / Ecru | ZARA United States,5.4255262157058745e-05,5.4255262157058745e-05
name_PLAID MIDI SKIRT WITH BELT - Ecru / Blue | ZARA United States,5.394478498576466e-05,5.394478498576466e-05
"materials_text_Composition: 98% cotton, 2% elastane | 98% cotton | 98% OCS certified organically grown cotton",5.3836614119610373e-05,5.3836614119610373e-05
name_POPLIN PLEATED PANTS - White | ZARA United States,5.369450415317726e-05,5.369450415317726e-05
name_Cotton Skirt,-5.3263523502583664e-05,5.3263523502583664e-05
